путь,категории_ПДн,количество_находок,УЗ,формат_файла
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/5487d8240beaf469a1a10ee370749263.pdf,Адрес:5,5,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Planes2015_rus.pdf,ФИО:5,5,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/AIC-DSU_CONTENT.pdf,Email:1,1,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Ecosystems.pdf,Дата рождения:2,2,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/%D0%A0384.pdf,Дата рождения:1,1,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Entrepreneurship%20in%20Hospitality.pdf,Email:1,1,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Prikaz 601.pdf,Дата рождения:50; Здоровье:2,52,1,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/%D0%9F1620_%D0%9F%D0%BB%D0%B0%D0%BD%20%D0%92%D0%A0%20%D0%BD%D0%B0%202021-2022%20%D1%83%D1%87.%D0%B3%D0%BE%D0%B4.pdf,ФИО:266; Дата рождения:412; Здоровье:2; Религия/политика:1; Расовая/национальная принадлежность:2,683,1,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/metod_prof.pdf,Адрес:1,1,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/prikaz_N_1010_1_ot_20.11.2018_.pdf,Дата рождения:22,22,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Ukaz Prezidenta 226.rtf,ФИО:1; Дата рождения:2,3,4,rtf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Media-Kit_KG_2020.pdf,ФИО:2; Телефон:74; Адрес:34,110,3,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Vtoroe_informatcionnoe_pis`mo_Kongress_2025.pdf,Телефон:2; Email:1,3,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/5.2.1.pdf,Дата рождения:2; Религия/политика:1,3,1,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/П156-ОД.pdf,Дата рождения:17,17,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/BAKSPEC.docx,ФИО:4,4,4,docx
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/CVDrKased.pdf,Email:4,4,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Course%20syllabus%20sample_Urban%20design%20project%204.%20Renovation%20of%20the%20urban%20environment.pdf,Email:1,1,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/ar_1.pdf,Телефон:7; Email:1; Дата рождения:1; Адрес:3,12,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Government-order_220-notice.rtf,Email:1,1,4,rtf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/%D0%A0%D0%90%D0%A1_546-%D1%80.pdf,Адрес:1,1,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/mechanical_engg_2025.pdf,Email:1,1,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/KCP_mag_2025.pdf,Здоровье:2; Религия/политика:1,3,1,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/47.pdf,Дата рождения:1,1,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Cod_etica_2023.pdf,Дата рождения:2,2,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/processing__agreement.pdf,ФИО:2; Телефон:2; Email:1; Дата рождения:50; ИНН:1,56,3,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/pfhd_2025_01.pdf,Телефон:1; Дата рождения:2; ИНН:1,4,3,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/CNO_AULA_Hispanica.pdf,Email:6,6,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Course%20syllabus%20sample%20(INTERNATIONAL%20STANDARDS%20FOR%20INTELLECTUAL%20-%20%D0%90%D1%80%D0%B7%D1%83%D0%BC%D0%B0%D0%BD%D1%8F%D0%BD)%20%E2%80%94%20%D0%BA%D0%BE%D0%BF%D0%B8%D1%8F.pdf,Email:1,1,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/c50dea3311d9c12cf6e941d47f574300.pdf,Адрес:5,5,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/EBBondarevskaia_conference-info.rtf,Email:1,1,4,rtf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Prot4_17.07.2025.pdf,ФИО:1; Дата рождения:3; СНИЛС:125; Расовая/национальная принадлежность:4,133,1,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/plan-meropriyatij-bgtu-k-80-letiyu-osvobozhdeniya.pdf,ФИО:2,2,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/5.5.1.pdf,ФИО:17; Адрес:6; Религия/политика:93,116,1,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Ukaz Prezidenta 378.pdf,ФИО:2,2,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Course%20syllabus%20MODERN%20NUMERICAL%20METHODS%20IN%20MATHEMATICAL%20MODELING.pdf,Email:1,1,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Instr_test_2024.pdf,Телефон:1; Email:1,2,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Protokol_04_02_2021.pdf,ФИО:51; Телефон:1; Email:1; Адрес:1,54,3,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/report_07112022.pdf,ФИО:9; Дата рождения:5; Адрес:1; Религия/политика:3,18,1,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/2.1.pdf,Email:1; Дата рождения:1; Адрес:1,3,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Course%20syllabus_Logical%20Argumentation%20and%20Critical%20Thinking_2022.pdf,Email:1,1,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/5.12.1.pdf,Адрес:7,7,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Course%20syllabus%20ASPT%20methods.pdf,Email:1,1,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/sved_o_d_j_2015.xls,ФИО:3,3,4,xls
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Modern%20technology%20for%20improving%20the%20productivity%20of%20regional%20studies%20communications.pdf,Email:1,1,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/sport_podg_ino.pdf,Дата рождения:5,5,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Fundamentals%20of%20Tourism.pdf,Email:1,1,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Horario_Aula_Hispanica_febrero-abril_2020.doc,Email:2; Адрес:1,3,4,doc
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/03.04.02.pdf,ФИО:6,6,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/sved_o_d_g_2015.xls,ФИО:2,2,4,xls
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Sobre_nosotros_2025_compressed.pdf,ФИО:5; Расовая/национальная принадлежность:2,7,1,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/BGP.pdf,Email:1,1,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Telephone_Directory1.pdf,Email:38,38,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/vesna_fizfak.docx,ФИО:1,1,4,docx
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Aula%20Hispanica_plano_rus_2016-po-mayo.pdf,ФИО:3; Email:2; Адрес:6,11,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/CartaInformativaCongreso2025_ru.pdf,ФИО:1; Телефон:1; Email:2; Адрес:1,5,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/5.8.3.pdf,ФИО:1,1,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/social2024.pdf,Дата рождения:2,2,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/incidents.json,Телефон:2; Email:4; Банковский счёт:22,28,2,json
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/%D0%A0%D0%90%D0%A1_988-%D1%80%20%D0%9E%D0%B1%20%D0%BE%D1%80%D0%B3%D0%B0%D0%BD%D0%B8%D0%B7%D0%B0%D1%86%D0%B8%D0%B8%20%D0%B4%D0%B8%D0%B0%D0%B3%D0%BD%D0%BE%D1%81%D1%82%D0%B8%D0%BA%D0%B8%20%D0%A3%D0%9A.pdf,Email:1; Дата рождения:1,2,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Planes2015_anodual_rus.pdf,ФИО:3,3,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/osn_mat_obr.pdf,ФИО:6; Адрес:2,8,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/%D0%9F%D0%A4%D0%A5%D0%94%202023%20%20%20%D0%B8%D1%81%D1%85%D0%BE%D0%B4%D0%BD%D1%8B%D0%B9%20%D1%81%20%D0%BE%D1%82%D1%82%D0%B8%D1%81%D0%BA%D0%BE%D0%BC.pdf,ФИО:1; Телефон:1; Дата рождения:4; ИНН:1,7,3,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/%D0%A0%D0%90%D0%A1%D0%9F1429-%D1%80%20%D0%BC%D0%B5%D1%80%D0%BE%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%B8%D1%8F%20%D0%A6%D0%B5%D0%BD%D1%82%D1%80%D0%B0%20%D0%BA%D0%BE%D0%BC%D0%BF%D0%B5%D1%82%D0%B5%D0%BD%D1%86%D0%B8%D0%B9.pdf,ФИО:1; Дата рождения:9,10,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/SELF_PORTRAIT_english_2025_ONLINE%20%281%29.pdf,Email:5; Дата рождения:1,6,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/2.3.8.pdf,Дата рождения:14; Здоровье:2,16,1,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/П47-ОД_МИМДО_03.03.2022.pdf,ФИО:1; Дата рождения:1; Адрес:1,3,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/otbor_k.pdf,ФИО:58; Телефон:71; Email:110,239,3,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/06_gorgorova.pdf,ФИО:3; Email:4; Дата рождения:10,17,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Informatsionnoe-pismo_2024.pdf,ФИО:2; Email:1; Дата рождения:1; Адрес:2,6,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/spisok%20finalistov-1%20(1).docx,ФИО:63; Здоровье:1,64,1,docx
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/%D0%A8%D0%B0%D0%B1%D0%BB%D0%BE%D0%BD-%D0%B7%D0%B0%D1%8F%D0%B2%D0%BB%D0%B5%D0%BD%D0%B8%D1%8F-%D0%BD%D0%B0-%D0%B2%D1%8B%D0%BF%D1%83%D1%81%D0%BA-%D0%BA%D0%B0%D1%80%D1%82%D1%8B.docx,Телефон:3,3,4,docx
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Public_Self_Disclosure_DSU.pdf,Email:10,10,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/03-5-01-005.pdf,ФИО:5; Религия/политика:2,7,1,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/informatika.pdf,ФИО:2; Дата рождения:2,4,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/f985xk95uk352rnl7d2guv812ndifv14.pdf,Адрес:2,2,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/2025Правила%20приёма%202025.26.pdf,ФИО:35; Дата рождения:36; Адрес:1; Расовая/национальная принадлежность:28,100,1,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/do-market-commentary-global-disclosure.pdf,Email:1,1,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Course%20syllabus%20sample_Environmental%20problems%20and%20environmental%20pollution.pdf,Email:1,1,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Реестровая выписка ГА 25.02.25_СПО.pdf,Дата рождения:12; Адрес:4; ИНН:1,17,3,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/New%20managerial%20opportunities%20for%20modern%20organization.pdf,Email:1,1,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/geo_ino.pdf,Религия/политика:2,2,1,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Modern Microscopy.pdf,Email:2; Дата рождения:1,3,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/pharm_d_2025.pdf,Email:1,1,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/sogl.docx,ФИО:4,4,4,docx
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Course%20Syllabus%20(General%20Pedagogy).pdf,Email:1,1,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/%D0%A0764.pdf,Дата рождения:1,1,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/BSC_DS_2025.pdf,Email:1,1,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/П122-ОД_изменения в ОС_28.04.2023.pdf,Дата рождения:38; Здоровье:1,39,1,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/MBA_brochure_2025.pdf,Email:1,1,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Ghidul_Studentului_2023.pdf,Email:1; Дата рождения:3,4,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/%D0%9F320-%D0%9E%D0%94_%D0%9F%D1%80%D0%BE%D1%84%D0%BE%D0%B1%D1%83%D1%87%D0%B5%D0%BD%D0%B8%D0%B5_%D0%AE%D0%A4%D0%A3.pdf,ФИО:6; Дата рождения:1,7,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/%20%D1%81%D0%BE%D0%B3%D0%BB%D0%B0%D1%88%D0%B5%D0%BD%D0%B8%D0%B5.pdf,Email:2; Дата рождения:1,3,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/142_152_Gorgorova.pdf,ФИО:3; Email:2; Дата рождения:9,14,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Carta_ASEM.pdf,Дата рождения:11,11,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Координаты для связи с профильными структурными подразделениями_3.pdf,ФИО:64; Телефон:37; Email:66; Адрес:14; СНИЛС:1; Здоровье:3,185,1,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/social2023.pdf,Дата рождения:2,2,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Building_innovation_Vitoshko.pdf,Телефон:1; Email:1,2,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Согласие_ПДн_(map.ncpti.ru).rtf,Дата рождения:3; ИНН:1,4,3,rtf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/5.1.3.pdf,Дата рождения:1,1,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Филиал в Геленджике декларация на сайт 2016 г..xls,ФИО:2,2,4,xls
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/bsc_msc_nursing_2025.pdf,Email:1; Дата рождения:1,2,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Protokol N3 2022.pdf,ФИО:43; Телефон:2; Email:2; Адрес:1,48,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/План создания МИП.pdf,Дата рождения:2,2,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Svedeniya o dohodah.xls,ФИО:4,4,4,xls
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/%D0%A0%D0%90%D0%A1%D0%9F1035-%D1%80%20HR.pdf,ФИО:1,1,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/1.3.pdf,ФИО:1,1,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/edvr4ufwv5zh72zrpiplz60e2rtwethf.pdf,Дата рождения:5; Адрес:4,9,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/pfhd_2023_02.pdf,Телефон:1; Дата рождения:2; ИНН:1,4,3,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/gl_VI_P120-OD_reglament_PK.pdf,Дата рождения:1,1,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/PROGRAMMA%20FESTIVAL.pdf,ФИО:26; Дата рождения:1; Адрес:2; Здоровье:1,30,1,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/2.4_reg_comisia_etica_r2.pdf,Email:1; Дата рождения:2,3,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/5.2.5.pdf,Дата рождения:2; Религия/политика:1,3,1,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Sootv_mag_2025.pdf,ФИО:50; Здоровье:4; Религия/политика:2,56,1,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/BCA_brochure_2025.pdf,Email:1,1,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/%D0%B4%D0%BE%D0%B3%D0%BE%D0%B2%D0%BE%D1%80_%D0%B8%D1%8E%D0%BB%D1%8C.docx,Email:1; Дата рождения:2; Адрес:1; ИНН:2; Банковский счёт:6,12,2,docx
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Course%20syllabus_Methodology%20of%20Social%20Sciences%20and%20Humanities_2022.pdf,Email:1,1,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/AICTE_Mandatory_Disclosure_2024_25.pdf,Email:3; Дата рождения:13,16,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Prioritet_itogi.pdf,ФИО:8; Здоровье:4,12,1,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Prog_stud_conf_Dec_es_2024_rus.pdf,ФИО:310; Адрес:1; Здоровье:4; Религия/политика:2; Расовая/национальная принадлежность:7,324,1,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/QC3.pdf,Email:2,2,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/%D0%B7%D0%B0%D1%8F%D0%B2%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5%20%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80%D1%83.docx,ФИО:1,1,4,docx
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/f1m24swvehna3obtnn9xofw2bff4emsq.pdf,Дата рождения:1,1,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/geo_inf.pdf,Дата рождения:5,5,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/bpt_2025.pdf,Email:1,1,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/UKS_Campus_Map_English.pdf,Email:1,1,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Реестровая выписка л_22.08.25.pdf,ФИО:93; Email:2; Адрес:32; ИНН:1; Здоровье:1; Религия/политика:3,132,1,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Реестровая выписка_29.05.29025.pdf,Дата рождения:3; Адрес:1; ИНН:1,5,3,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Thesis_kruglii_stol.pdf,ФИО:7,7,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/ПРАВИЛА%20ПОСЕЩЕНИЯ%20ООПТ%20ФЕДЕРАЛЬНОГО%20ЗНАЧЕНИЯ%20(2).pdf,Дата рождения:3,3,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Prot3_11.03.2025.pdf,ФИО:2; Дата рождения:12; СНИЛС:130,144,2,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/02.04.02.pdf,ФИО:3; Адрес:2,5,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Azov_conf-example.rtf,Email:1,1,4,rtf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/2024%20Y%C4%B1l%C4%B1%20%C4%B0dare%20Faaliyet%20Raporu.pdf,Дата рождения:148,148,3,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/pedagogika.pdf,Дата рождения:1,1,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Otchet_2013.pdf,ФИО:2,2,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Декларация Махачкала.xls,ФИО:2,2,4,xls
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/82174ac3fa46f97441160bfa3b5fef76.pdf,Адрес:3,3,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Course%20syllabus%20sample_Territory%20branding.pdf,Email:1,1,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/rules_01_2025.pdf,ФИО:2,2,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/MSC_DS_2025.pdf,Email:1,1,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/mpharma_2025.pdf,Email:1,1,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Aula_Hispanica_rus_2015.pdf,ФИО:4; Адрес:6,10,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Politika-PDN.pdf,Дата рождения:2; Адрес:3,5,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/П247.pdf,Дата рождения:9; Адрес:1; ИНН:1,11,3,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/posih.pdf,Адрес:1,1,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/07.04.02.pdf,Адрес:2,2,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/CT_RB_2025.pdf,ФИО:6; Расовая/национальная принадлежность:2,8,1,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/6b588aa921ec0008657cb728cfce508d.pdf,Адрес:5,5,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/%D0%A0%D0%90%D0%A1_712-%D1%80%20%D0%BE%D0%B1%D1%89%D0%B5%D0%B5%20%D1%81%D0%BE%D0%B1%D1%80%D0%B0%D0%BD%D0%B8%D0%B5%20%D0%90%D1%81%D1%81%D0%BE%D1%86%D0%B8%D0%B0%D1%86%D0%B8%D0%B8.pdf,Дата рождения:1,1,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Prot2_20.02.2025.pdf,ФИО:2; Дата рождения:14; СНИЛС:190,206,2,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/66n.pdf,Дата рождения:16,16,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/доп. об изменении цены_2ред.doc,Email:1; Дата рождения:2; Адрес:1; ИНН:1; Банковский счёт:1; БИК:1,7,2,doc
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Prikaz-1846_Application1-Report.rtf,Email:1,1,4,rtf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/41.04.05.pdf,ФИО:6; Религия/политика:4; Расовая/национальная принадлежность:1,11,1,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/%D0%98%D0%B7%D0%BC%D0%B5%D0%BD%D0%B5%D0%BD%D0%B8%D1%8F%20%D0%B2%20%D0%A3%D1%81%D1%82%D0%B0%D0%B2%20%D0%BE%D1%82%2024%20%D1%81%D0%B5%D0%BD%D1%82%D1%8F%D0%B1%D1%80%D1%8F%202024.pdf,Дата рождения:15,15,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/sved_o_d_g_2017.xls,ФИО:1,1,4,xls
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/51.04.01.pdf,ФИО:2; Адрес:1; Религия/политика:3,6,1,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/44.04.01_sov_obr.pdf,ФИО:1; Дата рождения:2,3,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/protokol_25.pdf,ФИО:16; Телефон:1; Email:1; Адрес:1,19,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/m_lit.pdf,ФИО:1,1,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/UGC-Proforma.pdf,Email:5; Дата рождения:18,23,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Информация о результатах приема 2024.pdf,Религия/политика:1,1,1,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/43.04.01_programm_mag_2025.pdf,ФИО:1,1,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/upr_izm.pdf,Адрес:1,1,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Theory%20and%20methodology%20of%20research%20and%20teaching%20in%20hospitality%20industry.pdf,Email:5,5,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/mtech_2025.pdf,Email:1,1,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Course%20syllabus_Soviet%20Science%20and%20Science%20in%20Modern%20Russia_2022.pdf,Email:1,1,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/mc201308.pdf,Email:23; Дата рождения:16; Здоровье:1,40,1,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/sved_o_d_f_m_2014.docx,ФИО:6; Расовая/национальная принадлежность:3,9,1,docx
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Реестр экскурсоводов 2024_ 02.12.2024.pdf,ФИО:3; Телефон:39; Email:29; Дата рождения:35; Адрес:2; Расовая/национальная принадлежность:1,109,1,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/SoE_Brochure_2025.pdf,Email:1,1,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/fis_podg_ino.pdf,Дата рождения:5,5,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/rasp1426-p_20140814.pdf,ФИО:1; Дата рождения:1,2,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Tourism%20development.pdf,Email:1,1,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/5.2.4.pdf,Дата рождения:2; Религия/политика:1,3,1,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Course%20syllabus_Culture%20and%20Philosophy%20of%20Ancient%20Greece%20in%20Russian%20studies%20of%20Classics_2022.pdf,Email:1,1,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/pfhd_2024.pdf,Телефон:1; Дата рождения:2; ИНН:1,4,3,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/pravila-vnutrennego-trudovogo-rasporyadka-bgtu.pdf,ФИО:5; Дата рождения:4,9,4,pdf
